Crime Type,Under 20 Victims,Under 20 Loss,Percent of Under 20 Victims,Percent of Under 20 Loss,Under 20 Percent of Total Victims,Under 20 Percent of Total Loss,Under 20 Annual Percent Change Victims,Under 20 Annual Percent Change Loss,20-29 Victims,20-29 Loss,Percent of 20-29 Victims,Percent of 20-29 Loss,20-29 Percent of Total Victims,20-29 Percent of Total Loss,20-29 Annual Percent Change Victims,20-29 Annual Percent Change Loss,30-39 Victims,30-39 Loss,Percent of 30-39 Victims,Percent of 30-39 Loss,30-39 Percent of Total Victims,30-39 Percent of Total Loss,30-39 Annual Percent Change Victims,30-39 Annual Percent Change Loss,40-49 Victims,40-49 Loss,Percent of 40-49 Victims,Percent of 40-49 Loss,40-49 Percent of Total Victims,40-49 Percent of Total Loss,40-49 Annual Percent Change Victims,40-49 Annual Percent Change Loss,50-59 Victims,50-59 Loss,Percent of 50-59 Victims,Percent of 50-59 Loss,50-59 Percent of Total Victims,50-59 Percent of Total Loss,50-59 Annual Percent Change Victims,50-59 Annual Percent Change Loss,60+ Victims,60+ Loss,Percent of 60+ Victims,Percent of 60+ Loss,60+ Percent of Total Victims,60+ Percent of Total Loss,60+ Annual Percent Change Victims,60+ Annual Percent Change Loss,Total Victims, Total Loss ,Total Annual Percent Change Victims,Total Annual Percent Change Loss
Investment,901," $ 17,022,800.00 ",3.00%,25.37%,1.47%,0.24%,125.81%,25.43%,"6,102"," $ 163,145,270.00 ",6.00%,28.95%,9.93%,2.28%,176.71%,105.81%,"10,996"," $ 564,898,178.00 ",8.82%,32.37%,17.90%,7.88%,161.18%,104.49%,"13,737"," $ 1,152,243,858.00 ",11.04%,38.96%,22.36%,16.08%,115.52%,45.51%,"12,773"," $ 1,748,651,287.00 ",11.77%,47.57%,20.79%,24.40%,220.34%,200.57%,"16,926"," $ 3,519,296,235.00 ",10.11%,47.10%,27.55%,49.12%,179.15%,191.87%,"61,435"," $ 7,165,257,628.00 ",187.35%,177.77%
IPR / Copyright Counterfeit,70," $ 72,650.00 ",0.23%,0.11%,3.48%,0.30%,191.67%,1588.75%,261," $ 377,545.00 ",0.26%,0.07%,12.97%,1.54%,178.77%,617.84%,504," $ 2,108,962.00 ",0.40%,0.12%,25.05%,8.61%,233.22%,270.08%,502," $ 14,161,896.00 ",0.40%,0.48%,24.95%,57.84%,168.69%,680.21%,359," $ 3,270,925.00 ",0.33%,0.09%,17.84%,13.36%,213.69%,114.70%,316," $ 4,493,512.00 ",0.19%,0.06%,15.71%,18.35%,193.87%,417.34%,"2,012"," $ 24,485,490.00 ",219.89%,380.36%
Lottery / Sweepstakes / Inheritance,75," $ 89,050.00 ",0.25%,0.13%,1.45%,0.05%,141.94%,211.82%,315," $ 2,273,833.00 ",0.31%,0.40%,6.11%,1.29%,187.50%,310.54%,528," $ 5,047,453.00 ",0.42%,0.29%,10.24%,2.87%,177.15%,238.27%,679," $ 12,877,295.00 ",0.55%,0.44%,13.17%,7.32%,-8.45%,256.84%,773," $ 19,385,699.00 ",0.71%,0.53%,15.00%,11.01%,109.18%,502.61%,"2,785"," $ 136,328,519.00 ",1.66%,1.82%,54.03%,77.46%,162.77%,179.62%,"5,155"," $ 176,001,849.00 ",158.18%,204.31%
Malware,57," $ 3,766.00 ",0.19%,0.01%,7.24%,0.02%,21.28%,-79.14%,159," $ 504,839.00 ",0.16%,0.09%,20.20%,2.76%,184.88%,1155.42%,193," $ 1,714,483.00 ",0.15%,0.10%,24.52%,9.36%,170.57%,2897.65%,147," $ 1,998,406.00 ",0.12%,0.07%,18.68%,10.91%,91.01%,918.20%,93," $ 10,661,574.00 ",0.09%,0.29%,11.82%,58.21%,140.91%,7879.83%,138," $ 3,433,325.00 ",0.08%,0.05%,17.53%,18.74%,306.67%,1827.10%,787," $ 18,316,393.00 ",176.46%,2830.81%
Non-Payment / Non-Delivery,"2,351"," $ 2,391,036.00 ",7.83%,3.56%,4.85%,0.59%,39.03%,51.45%,"8,331"," $ 37,006,257.00 ",8.20%,6.57%,17.17%,9.09%,108.99%,186.01%,"9,947"," $ 69,016,236.00 ",7.98%,3.96%,20.50%,16.96%,117.91%,170.90%,"9,981"," $ 97,620,771.00 ",8.02%,3.30%,20.57%,23.99%,55.36%,88.48%,"8,158"," $ 73,863,630.00 ",7.52%,2.01%,16.82%,18.15%,139.50%,149.11%,"9,743"," $ 127,041,813.00 ",5.82%,1.70%,20.08%,31.22%,127.43%,165.43%,"48,511"," $ 406,939,743.00 ",125.25%,167.79%
Other,"2,159"," $ 2,616,321.00 ",7.19%,3.90%,11.84%,0.64%,578.93%,91.39%,"2,864"," $ 12,967,479.00 ",2.82%,2.30%,15.70%,3.17%,324.35%,114.05%,"3,938"," $ 58,543,283.00 ",3.16%,3.36%,21.59%,14.29%,286.39%,261.58%,"3,659"," $ 96,902,505.00 ",2.94%,3.28%,20.06%,23.66%,231.68%,513.81%,"2,620"," $ 85,195,234.00 ",2.41%,2.32%,14.36%,20.80%,288.23%,519.13%,"3,001"," $ 153,412,996.00 ",1.79%,2.05%,16.45%,37.45%,148.79%,137.84%,"18,241"," $ 409,637,818.00 ",272.70%,229.50%
Overpayment,304," $ 181,495.00 ",1.01%,0.27%,14.98%,1.02%,-3.18%,-81.97%,350," $ 783,264.00 ",0.34%,0.14%,17.24%,4.39%,45.10%,38.10%,294," $ 3,937,790.00 ",0.24%,0.23%,14.48%,22.06%,57.96%,140.66%,295," $ 2,601,879.00 ",0.24%,0.09%,14.53%,14.58%,-33.77%,1.16%,310," $ 2,301,154.00 ",0.29%,0.06%,15.27%,12.89%,69.04%,89.54%,477," $ 8,045,862.00 ",0.28%,0.11%,23.50%,45.07%,90.51%,136.35%,"2,030"," $ 17,851,444.00 ",67.02%,104.57%
Personal Data Breach,"2,601"," $ 7,314,429.00 ",8.66%,10.90%,4.44%,0.69%,94.83%,1051.81%,"7,877"," $ 86,102,381.00 ",7.75%,15.28%,13.46%,8.14%,124.79%,426.66%,"13,238"," $ 173,434,730.00 ",10.62%,9.94%,22.62%,16.40%,123.07%,150.42%,"13,403"," $ 241,244,329.00 ",10.77%,8.16%,22.90%,22.81%,64.79%,54.17%,"9,703"," $ 225,239,544.00 ",8.94%,6.13%,16.58%,21.29%,138.45%,206.97%,"11,705"," $ 324,470,413.00 ",6.99%,4.34%,20.00%,30.67%,119.11%,127.65%,"58,527"," $ 1,057,805,826.00 ",129.75%,142.26%
Phishing / Spoofing,"2,380"," $ 360,429.00 ",7.92%,0.54%,1.56%,0.20%,621.21%,-55.84%,"19,765"," $ 7,954,797.00 ",19.44%,1.41%,12.98%,4.37%,1160.60%,377.81%,"27,433"," $ 32,669,619.00 ",22.01%,1.87%,18.02%,17.95%,1103.05%,610.45%,"27,800"," $ 33,063,856.00 ",22.34%,1.12%,18.26%,18.17%,948.71%,470.18%,"26,782"," $ 30,918,367.00 ",24.68%,0.84%,17.59%,16.99%,862.54%,481.80%,"48,064"," $ 77,020,936.00 ",28.70%,1.03%,31.57%,42.32%,206.71%,381.24%,"152,224"," $ 181,988,004.00 ",454.67%,448.68%
Ransomware,15, $ -   ,0.05%,0.00%,0.98%,0.00%,25.00%,N/A,67," $ 2,956,745.00 ",0.07%,0.52%,4.38%,13.60%,108.06%,23563.48%,204," $ 821,075.00 ",0.16%,0.05%,13.35%,3.78%,169.88%,2180.23%,427," $ 6,918,385.00 ",0.34%,0.23%,27.95%,31.83%,82.46%,3410.68%,457," $ 5,394,639.00 ",0.42%,0.15%,29.91%,24.82%,180.63%,1043.00%,358," $ 5,644,789.00 ",0.21%,0.08%,23.43%,25.97%,172.12%,13066.94%,"1,528"," $ 21,735,633.00 ",176.44%,2722.71%
Real Estate / Rental,158," $ 189,875.00 ",0.53%,0.28%,1.45%,0.08%,5.33%,-54.11%,"1,986"," $ 7,294,459.00 ",1.95%,1.29%,18.26%,3.11%,113.55%,152.45%,"2,189"," $ 23,316,890.00 ",1.76%,1.34%,20.12%,9.94%,155.57%,352.06%,"2,037"," $ 33,724,892.00 ",1.64%,1.14%,18.72%,14.38%,94.30%,120.65%,"2,036"," $ 46,373,027.00 ",1.88%,1.26%,18.71%,19.77%,201.38%,206.41%,"2,473"," $ 123,671,936.00 ",1.48%,1.66%,22.73%,52.72%,140.11%,162.03%,"10,879"," $ 234,571,079.00 ",151.73%,195.57%
SIM Swap,6," $ 6,303.00 ",0.02%,0.01%,0.70%,0.05%,-14.29%,N/A,61," $ 153,247.00 ",0.06%,0.03%,7.13%,1.11%,105.17%,19.14%,162," $ 796,329.00 ",0.13%,0.05%,18.95%,5.77%,87.45%,11.79%,210," $ 3,399,856.00 ",0.17%,0.11%,24.56%,24.64%,17.84%,-26.88%,194," $ 2,698,369.00 ",0.18%,0.07%,22.69%,19.56%,112.79%,53.12%,222," $ 6,741,791.00 ",0.13%,0.09%,25.96%,48.87%,108.29%,106.30%,855," $ 13,795,895.00 ",101.79%,54.69%
Tech Support,405," $ 2,328,729.00 ",1.35%,3.47%,1.00%,0.13%,45.16%,131.10%,"3,045"," $ 45,718,725.00 ",3.00%,8.11%,7.55%,2.61%,157.93%,326.10%,"4,864"," $ 119,274,031.00 ",3.90%,6.84%,12.06%,6.80%,191.72%,466.39%,"5,182"," $ 261,313,644.00 ",4.17%,8.84%,12.85%,14.91%,57.19%,441.75%,"5,512"," $ 283,494,484.00 ",5.08%,7.71%,13.66%,16.17%,153.79%,583.94%,"21,334"," $ 1,040,879,243.00 ",12.74%,13.93%,52.88%,59.38%,127.16%,105.95%,"40,342"," $ 1,753,008,856.00 ",144.60%,156.55%
Threats of Violence,508," $ 40,982.00 ",1.69%,0.06%,11.69%,0.48%,330.51%,880.20%,"1,045"," $ 159,365.00 ",1.03%,0.03%,24.05%,1.88%,411.42%,2015.24%,"1,084"," $ 7,335,885.00 ",0.87%,0.42%,24.95%,86.56%,332.43%,120.97%,829," $ 454,130.00 ",0.67%,0.02%,19.08%,5.36%,265.46%,186.48%,531," $ 239,803.00 ",0.49%,0.01%,12.22%,2.83%,316.07%,72.36%,348," $ 244,840.00 ",0.21%,0.00%,8.01%,2.89%,313.51%,81.48%,"4,345"," $ 8,475,005.00 ",354.40%,125.12%
Total,"30,035"," $ 67,105,555.00 ",100.00%,100.00%,4.57%,0.41%,93.19%,64.87%,"101,648"," $ 563,529,247.00 ",100.00%,100.00%,15.48%,3.42%,193.95%,161.60%,"124,633"," $ 1,744,865,861.00 ",100.00%,100.00%,18.98%,10.59%,210.18%,151.01%,"124,416"," $ 2,957,413,372.00 ",100.00%,100.00%,18.94%,17.95%,138.27%,83.74%,"108,539"," $ 3,675,986,165.00 ",100.00%,100.00%,16.53%,22.31%,223.03%,218.24%,"167,487"," $ 7,471,450,503.00 ",100.00%,100.00%,25.50%,45.34%,147.01%,161.59%,"656,758"," $ 16,480,350,703.00 ",190.57%,175.82%
