Crime Type,2020 Victims,2020 Loss,2020 Percent of Total Victims,2020 Percent of Total Loss,2021 Victims,2021 Loss,2021 Percent of Total Victims,2021 Percent of Total Loss,2021 Annual Percent Change Victims,2021 Annual Percent Change Loss,2022 Victims,2022 Loss,2022 Percent of Total Victims,2022 Percent of Total Loss,2022 Annual Percent Change Victims,2022 Annual Percent Change Loss,2023 Victims,2023 Loss,2023 Percent of Total Victims,2023 Percent of Total Loss,2023 Annual Percent Change Victims,2023 Annual Percent Change Loss,2024 Victims,2024 Loss,2024 Percent of Total Victims,2024 Percent of Total Loss,2024 Annual Percent Change Victims,2024 Annual Percent Change Loss,2025 Victims,2025 Loss,2025 Percent of Total Victims,2025 Percent of Total Loss,2025 Annual Percent Change Victims,2025 Annual Percent Change Loss
Investment,"1,062"," $ 98,040,940.00 ",0.89%,8.61%,"2,104"," $ 239,474,635.00 ",2.24%,12.63%,98.12%,144.26%,"4,661"," $ 990,235,119.00 ",5.22%,30.09%,121.53%,313.50%,"6,443"," $ 1,243,010,600.00 ",8.49%,37.10%,38.23%,25.53%,"9,448"," $ 1,834,242,515.00 ",8.30%,39.67%,46.64%,47.56%,"16,926"," $ 3,519,296,235.00 ",10.13%,47.10%,79.15%,91.87%
IPR / Copyright Counterfeit,552," $ 479,375.00 ",0.46%,0.04%,686," $ 4,954,221.00 ",0.73%,0.26%,24.28%,933.48%,235," $ 203,140.00 ",0.26%,0.01%,-65.74%,-95.90%,152," $ 183,169.00 ",0.20%,0.01%,-35.32%,-9.83%,163," $ 1,076,710.00 ",0.14%,0.02%,7.24%,487.82%,316," $ 4,493,512.00 ",0.19%,0.06%,93.87%,317.34%
Lottery / Sweepstakes / Inheritance,"3,774"," $ 38,804,343.00 ",3.18%,3.41%,"2,607"," $ 53,557,330.00 ",2.78%,2.82%,-30.92%,38.02%,"2,388"," $ 69,845,106.00 ",2.68%,2.12%,-8.40%,30.41%,"1,771"," $ 67,396,206.00 ",2.33%,2.01%,-25.84%,-3.51%,"1,711"," $ 75,897,926.00 ",1.50%,1.64%,-3.39%,12.61%,"2,785"," $ 136,328,519.00 ",1.67%,1.82%,62.77%,79.62%
Malware,287," $ 671,667.00 ",0.24%,0.06%,134," $ 1,177,864.00 ",0.14%,0.06%,-53.31%,75.36%,125," $ 1,851,421.00 ",0.14%,0.06%,-6.72%,57.18%,67," $ 261,144.00 ",0.09%,0.01%,-46.40%,-85.89%,45," $ 187,911.00 ",0.04%,0.00%,-32.84%,-28.04%,138," $ 3,433,325.00 ",0.08%,0.05%,206.67%,1727.10%
Misrepresentation,"4,735"," $ 1,815,552.00 ",3.98%,0.16%,0, $ -   ,0.00%,0.00%,-100.00%,-100.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A
Non-Payment / Non-Delivery,"14,534"," $ 40,377,167.00 ",12.23%,3.55%,"13,220"," $ 52,023,580.00 ",14.09%,2.74%,-9.04%,28.84%,"7,985"," $ 51,531,615.00 ",8.95%,1.57%,-39.60%,-0.95%,"6,693"," $ 59,018,965.00 ",8.82%,1.76%,-16.18%,14.53%,"7,646"," $ 76,794,753.00 ",6.72%,1.66%,14.24%,30.12%,"9,743"," $ 127,041,813.00 ",5.83%,1.70%,27.43%,65.43%
Other,"3,259"," $ 49,689,594.00 ",2.74%,4.37%,"2,933"," $ 22,196,542.00 ",3.13%,1.17%,-10.00%,-55.33%,"2,016"," $ 31,410,237.00 ",2.26%,0.95%,-31.26%,41.51%,"1,447"," $ 72,707,042.00 ",1.91%,2.17%,-28.22%,131.48%,"2,017"," $ 111,300,637.00 ",1.77%,2.41%,39.39%,53.08%,"3,001"," $ 153,412,996.00 ",1.80%,2.05%,48.79%,37.84%
Overpayment,"2,196"," $ 11,212,323.00 ",1.85%,0.98%,"1,448"," $ 9,214,129.00 ",1.54%,0.49%,-34.06%,-17.82%,"1,183"," $ 10,977,231.00 ",1.33%,0.33%,-18.30%,19.13%,698," $ 7,496,049.00 ",0.92%,0.22%,-41.00%,-31.71%,527," $ 5,900,921.00 ",0.46%,0.13%,-24.50%,-21.28%,477," $ 8,045,862.00 ",0.29%,0.11%,-9.49%,36.35%
Personal Data Breach,"6,121"," $ 24,641,539.00 ",5.15%,2.16%,"6,189"," $ 103,688,489.00 ",6.59%,5.47%,1.11%,320.79%,"7,849"," $ 127,736,607.00 ",8.80%,3.88%,26.82%,23.19%,"7,333"," $ 109,724,027.00 ",9.66%,3.27%,-6.57%,-14.10%,"9,827"," $ 254,187,196.00 ",8.63%,5.50%,34.01%,131.66%,"11,705"," $ 324,470,413.00 ",7.00%,4.34%,19.11%,27.65%
Phishing / Spoofing,"14,632"," $ 59,716,039.00 ",12.31%,5.25%,"9,767"," $ 28,639,277.00 ",10.41%,1.51%,-33.25%,-52.04%,"8,369"," $ 36,715,205.00 ",9.38%,1.12%,-14.31%,28.20%,"2,856"," $ 3,355,436.00 ",3.76%,0.10%,-65.87%,-90.86%,"23,252"," $ 20,202,521.00 ",20.43%,0.44%,714.15%,502.08%,"48,064"," $ 77,020,936.00 ",28.76%,1.03%,106.71%,281.24%
Ransomware,365," $ 5,332,312.00 ",0.31%,0.47%,365," $ 424,852.00 ",0.39%,0.02%,0.00%,-92.03%,215," $ 210,052.00 ",0.24%,0.01%,-41.10%,-50.56%,175," $ 635,548.00 ",0.23%,0.02%,-18.60%,202.57%,208," $ 43,199.00 ",0.18%,0.00%,18.86%,-93.20%,358," $ 5,644,789.00 ",0.21%,0.08%,72.12%,12966.94%
Re-Shipping,114," $ 588,553.00 ",0.10%,0.05%,76," $ 360,455.00 ",0.08%,0.02%,-33.33%,-38.76%,0, $ -   ,0.00%,0.00%,-100.00%,-100.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A
Real Estate / Rental,"1,882"," $ 50,098,565.00 ",1.58%,4.40%,"1,764"," $ 102,071,631.00 ",1.88%,5.38%,-6.27%,103.74%,"1,862"," $ 135,239,020.00 ",2.09%,4.11%,5.56%,32.49%,"1,498"," $ 65,634,851.00 ",1.97%,1.96%,-19.55%,-51.47%,"1,765"," $ 76,324,236.00 ",1.55%,1.65%,17.82%,16.29%,"2,473"," $ 123,671,936.00 ",1.48%,1.66%,40.11%,62.03%
SIM Swap,0, $ -   ,0.00%,0.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,301," $ 19,515,629.00 ",0.34%,0.59%,N/A,N/A,174," $ 15,148,072.00 ",0.23%,0.45%,-42.19%,-22.38%,205," $ 6,342,329.00 ",0.18%,0.14%,17.82%,-58.13%,222," $ 6,741,791.00 ",0.13%,0.09%,8.29%,6.30%
Tech Support,"9,429"," $ 116,415,126.00 ",7.93%,10.23%,"13,900"," $ 237,931,278.00 ",14.81%,12.55%,47.42%,104.38%,"17,810"," $ 587,831,698.00 ",19.96%,17.86%,28.13%,147.06%,"17,696"," $ 589,759,770.00 ",23.31%,17.60%,-0.64%,0.33%,"16,777"," $ 982,440,006.00 ",14.74%,21.25%,-5.19%,66.58%,"21,334"," $ 1,040,879,243.00 ",12.76%,13.93%,27.16%,5.95%
Terrorism,7, $ -   ,0.01%,0.00%,0, $ -   ,0.00%,0.00%,-100.00%,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A
Terrorism / Threats of Violence ,"1,692"," $ 1,112,825.00 ",1.42%,0.10%,719," $ 361,549.00 ",0.77%,0.02%,-57.51%,-67.51%,0, $ -   ,0.00%,0.00%,-100.00%,-100.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A
Threats of Violence,0, $ -   ,0.00%,0.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,166," $ 376,458.00 ",0.19%,0.01%,N/A,N/A,115," $ 5,128,768.00 ",0.15%,0.15%,-30.72%,1262.37%,111," $ 300,488.00 ",0.10%,0.01%,-3.48%,-94.14%,348," $ 244,840.00 ",0.21%,0.00%,213.51%,-18.52%
Total,"118,832"," $ 1,138,307,493.00 ",100.00%,100.00%,"93,848"," $ 1,896,375,708.00 ",100.00%,100.00%,-21.02%,66.60%,"89,237"," $ 3,290,601,633.00 ",100.00%,100.00%,-4.91%,73.52%,"75,905"," $ 3,350,531,560.00 ",100.00%,100.00%,-14.94%,1.82%,"113,815"," $ 4,623,540,320.00 ",100.00%,100.00%,49.94%,37.99%,"167,139"," $ 7,471,205,663.00 ",100.00%,100.00%,46.85%,61.59%
Descriptors:,Not included in Totals,,,,Not included in Totals,,,,,,Not included in Totals,,,,,,Not included in Totals,,,,,,Not included in Totals,,,,,,Not included in Totals,,,,,
Cryptocurrency / Cryptocurrency Wallet,"9,447"," $ 55,056,901.00 ",7.95%,4.84%,"5,109"," $ 241,143,166.00 ",5.44%,12.72%,-45.92%,337.99%,"9,991"," $ 1,088,330,051.00 ",11.20%,33.07%,95.56%,351.32%,"16,968"," $ 1,653,484,444.00 ",22.35%,49.35%,69.83%,51.93%,"33,369"," $ 2,839,333,197.00 ",29.32%,61.41%,96.66%,71.72%,"42,271"," $ 4,347,081,557.00 ",25.29%,58.18%,26.68%,53.10%
AI Related,0, $ -   ,0.00%,0.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,"3,143"," $ 352,496,231.00 ",1.88%,4.72%,N/A,N/A
Crimes Against Children,0, $ -   ,0.00%,0.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,94," $ 5,806,300.00 ",0.06%,0.08%,N/A,N/A
