Crime Type,2020 Victims,2020 Loss,2020 Percent of Total Victims,2020 Percent of Total Loss,2021 Victims,2021 Loss,2021 Percent of Total Victims,2021 Percent of Total Loss,2021 Annual Percent Change Victims,2021 Annual Percent Change Loss,2022 Victims,2022 Loss,2022 Percent of Total Victims,2022 Percent of Total Loss,2022 Annual Percent Change Victims,2022 Annual Percent Change Loss,2023 Victims,2023 Loss,2023 Percent of Total Victims,2023 Percent of Total Loss,2023 Annual Percent Change Victims,2023 Annual Percent Change Loss,2024 Victims,2024 Loss,2024 Percent of Total Victims,2024 Percent of Total Loss,2024 Annual Percent Change Victims,2024 Annual Percent Change Loss,2025 Victims,2025 Loss,2025 Percent of Total Victims,2025 Percent of Total Loss,2025 Annual Percent Change Victims,2025 Annual Percent Change Loss
Phishing / Spoofing,"269,560"," $ 270,754,803.00 ",34.54%,5.37%,"342,494"," $ 126,383,513.00 ",44.18%,1.53%,27.06%,-53.32%,"321,146"," $ 160,015,411.00 ",44.32%,1.46%,-6.23%,26.61%,"298,878"," $ 18,728,550.00 ",43.21%,0.15%,-6.93%,-88.30%,"193,407"," $ 70,013,036.00 ",29.67%,0.44%,-35.29%,273.83%,"191,561"," $ 215,843,126.00 ",24.93%,1.06%,-0.95%,208.29%
Ransomware,"2,474"," $ 29,157,405.00 ",0.32%,0.58%,"3,729"," $ 49,207,908.00 ",0.48%,0.59%,50.73%,68.77%,"2,385"," $ 34,353,237.00 ",0.33%,0.31%,-36.04%,-30.19%,"2,825"," $ 59,641,348.00 ",0.41%,0.48%,18.45%,73.61%,"3,156"," $ 12,473,156.00 ",0.48%,0.08%,11.72%,-79.09%,"3,611"," $ 32,320,105.00 ",0.47%,0.16%,14.42%,159.12%
Re-Shipping,883," $ 3,095,265.00 ",0.11%,0.06%,516," $ 631,466.00 ",0.07%,0.01%,-41.56%,-79.60%,0, $ -   ,0.00%,0.00%,-100.00%,-100.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A
Real Estate / Rental,"13,638"," $ 213,196,082.00 ",1.75%,4.22%,"11,578"," $ 350,328,166.00 ",1.49%,4.23%,-15.10%,64.32%,"11,727"," $ 396,932,821.00 ",1.62%,3.63%,1.29%,13.30%,"9,521"," $ 145,243,348.00 ",1.38%,1.18%,-18.81%,-63.41%,"9,359"," $ 173,586,820.00 ",1.44%,1.08%,-1.70%,19.51%,"12,368"," $ 275,110,419.00 ",1.61%,1.36%,32.15%,58.49%
SIM Swap,0, $ -   ,0.00%,0.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,"2,026"," $ 72,652,571.00 ",0.28%,0.66%,N/A,N/A,"1,075"," $ 48,798,103.00 ",0.16%,0.40%,-46.94%,-32.83%,982," $ 25,983,946.00 ",0.15%,0.16%,-8.65%,-46.75%,971," $ 17,366,758.00 ",0.13%,0.09%,-1.12%,-33.16%
Tech Support,"15,421"," $ 146,477,709.00 ",1.98%,2.90%,"23,903"," $ 347,657,432.00 ",3.08%,4.20%,55.00%,137.34%,"32,538"," $ 806,551,993.00 ",4.49%,7.38%,36.13%,132.00%,"37,560"," $ 924,512,658.00 ",5.43%,7.49%,15.43%,14.63%,"36,002"," $ 1,464,755,976.00 ",5.52%,9.10%,-4.15%,58.44%,"47,794"," $ 2,134,675,818.00 ",6.22%,10.52%,32.75%,45.74%
Terrorism,65, $ -   ,0.01%,0.00%,0, $ -   ,0.00%,0.00%,-100.00%,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A
Terrorism / Threats of Violence ,0, $ -   ,0.00%,0.00%,"12,346"," $ 4,390,720.00 ",1.59%,0.05%,N/A,N/A,0, $ -   ,0.00%,0.00%,-100.00%,-100.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A
Threats of Violence,0, $ -   ,0.00%,0.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,"2,224"," $ 4,972,099.00 ",0.31%,0.05%,N/A,N/A,"1,697"," $ 13,531,178.00 ",0.25%,0.11%,-23.70%,172.14%,"1,360"," $ 1,842,186.00 ",0.21%,0.01%,-19.86%,-86.39%,"4,826"," $ 9,509,532.00 ",0.63%,0.05%,254.85%,416.21%
Total,"780,403"," $ 5,046,416,677.00 ",100.00%,100.00%,"775,222"," $ 8,273,590,326.00 ",100.00%,100.00%,-0.66%,63.95%,"724,526"," $ 10,930,600,117.00 ",100.00%,100.00%,-6.54%,32.11%,"691,701"," $ 12,347,237,133.00 ",100.00%,100.00%,-4.53%,12.96%,"651,865"," $ 16,088,411,782.00 ",100.00%,100.00%,-5.76%,30.30%,"768,452"," $ 20,295,363,088.00 ",100.00%,100.00%,17.89%,26.15%
Descriptors:,Not included in Totals,,,,Not included in Totals,,,,,,Not included in Totals,,,,,,Not included in Totals,,,,,,Not included in Totals,,,,,,Not included in Totals,,,,,
Cryptocurrency / Cryptocurrency Wallet,"35,229"," $ 246,212,432.00 ",4.51%,4.88%,"34,202"," $ 1,602,647,341.00 ",4.41%,19.37%,-2.92%,550.92%,"52,091"," $ 3,845,287,413.00 ",7.19%,35.18%,52.30%,139.93%,"69,468"," $ 5,587,490,585.00 ",10.04%,45.25%,33.36%,45.31%,"149,686"," $ 9,322,335,911.00 ",22.96%,57.94%,115.47%,66.84%,"181,565"," $ 11,366,669,732.00 ",23.63%,56.01%,21.30%,21.93%
AI Related,0, $ -   ,0.00%,0.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,"22,364"," $ 893,346,472.00 ",2.91%,4.40%,N/A,N/A
Crimes Against Children,0, $ -   ,0.00%,0.00%,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,0, $ -   ,0.00%,0.00%,N/A,N/A,"7,239"," $ 6,694,350.00 ",0.94%,0.03%,N/A,N/A
